user_no,room_no,store_id,store_name,action,requested_tag,requested_region,rank_position,expected_price,created_at,updated_at
1,1,GP_SAMPLE_KR_001,김밥천국 마포점,CLICK,한식,서울 마포구,1,5500,2026-06-15 10:00:00,2026-06-15 10:00:00
2,2,GP_SAMPLE_KR_002,명동칼국수 성동점,CLICK,한식,서울 성동구,2,8000,2026-06-15 10:03:00,2026-06-15 10:03:00
3,3,GP_SAMPLE_CN_001,중화반점 대구점,CLICK,중식,대구 중구,1,7000,2026-06-15 10:06:00,2026-06-15 10:06:00
4,4,GP_SAMPLE_ETC_001,분식마을 안양점,CLICK,기타 요식업,경기 안양시 만안구,1,4500,2026-06-15 10:09:00,2026-06-15 10:09:00
5,5,GP_SAMPLE_JP_001,라멘하루 부산점,CLICK,일식,부산 해운대구,3,9000,2026-06-15 10:12:00,2026-06-15 10:12:00
6,6,GP_SAMPLE_WS_001,파스타온 강남점,CLICK,양식,서울 강남구,2,10500,2026-06-15 10:15:00,2026-06-15 10:15:00
7,7,GP_SAMPLE_KR_003,든든국밥 종로점,CLICK,한식,서울 종로구,1,8500,2026-06-15 10:18:00,2026-06-15 10:18:00
8,8,GP_SAMPLE_ETC_002,토스트하우스 서초점,CLICK,기타 요식업,서울 서초구,2,4000,2026-06-15 10:21:00,2026-06-15 10:21:00
9,9,GP_SAMPLE_CN_002,짜장명가 수원점,CLICK,중식,경기 수원시 팔달구,2,6500,2026-06-15 10:24:00,2026-06-15 10:24:00
10,10,GP_SAMPLE_KR_004,정성백반 광주점,CLICK,한식,광주 동구,1,7500,2026-06-15 10:27:00,2026-06-15 10:27:00
11,11,GP_SAMPLE_JP_002,우동집 대전점,CLICK,일식,대전 중구,1,7000,2026-06-15 10:30:00,2026-06-15 10:30:00
12,12,GP_SAMPLE_ETC_003,샌드위치랩 구로점,CLICK,기타 요식업,서울 구로구,3,6000,2026-06-15 10:33:00,2026-06-15 10:33:00
13,13,GP_SAMPLE_WS_002,피자스쿨 송파점,CLICK,양식,서울 송파구,1,9900,2026-06-15 10:36:00,2026-06-15 10:36:00
14,14,GP_SAMPLE_KR_005,순두부집 인천점,CLICK,한식,인천 부평구,2,8000,2026-06-15 10:39:00,2026-06-15 10:39:00
15,15,GP_SAMPLE_CN_003,홍콩반점 노원점,CLICK,중식,서울 노원구,1,7500,2026-06-15 10:42:00,2026-06-15 10:42:00
16,16,GP_SAMPLE_ETC_004,떡볶이연구소 용산점,CLICK,기타 요식업,서울 용산구,1,5000,2026-06-15 10:45:00,2026-06-15 10:45:00
17,17,GP_SAMPLE_KR_006,제육식당 성북점,CLICK,한식,서울 성북구,1,8500,2026-06-15 10:48:00,2026-06-15 10:48:00
18,18,GP_SAMPLE_JP_003,초밥마루 제주점,CLICK,일식,제주 제주시,2,12000,2026-06-15 10:51:00,2026-06-15 10:51:00
19,19,GP_SAMPLE_WS_003,버거스팟 마포점,CLICK,양식,서울 마포구,2,8800,2026-06-15 10:54:00,2026-06-15 10:54:00
20,20,GP_SAMPLE_ETC_005,핫도그클럽 강서점,CLICK,기타 요식업,서울 강서구,4,3500,2026-06-15 10:57:00,2026-06-15 10:57:00
21,21,GP_SAMPLE_KR_007,비빔밥집 관악점,CLICK,한식,서울 관악구,1,7500,2026-06-15 11:00:00,2026-06-15 11:00:00
22,22,GP_SAMPLE_CN_004,마라탕소반 분당점,CLICK,중식,경기 성남시 분당구,3,9500,2026-06-15 11:03:00,2026-06-15 11:03:00
23,23,GP_SAMPLE_JP_004,카츠정 은평점,CLICK,일식,서울 은평구,2,10000,2026-06-15 11:06:00,2026-06-15 11:06:00
24,24,GP_SAMPLE_ETC_006,김밥분식 동작점,CLICK,기타 요식업,서울 동작구,1,5000,2026-06-15 11:09:00,2026-06-15 11:09:00
25,25,GP_SAMPLE_KR_008,청국장집 중랑점,CLICK,한식,서울 중랑구,3,8500,2026-06-15 11:12:00,2026-06-15 11:12:00
26,26,GP_SAMPLE_WS_004,스테이크볼 강동점,CLICK,양식,서울 강동구,4,11500,2026-06-15 11:15:00,2026-06-15 11:15:00
27,27,GP_SAMPLE_CN_005,짬뽕상회 포항점,CLICK,중식,경북 포항시 북구,2,8500,2026-06-15 11:18:00,2026-06-15 11:18:00
28,28,GP_SAMPLE_ETC_007,만두공방 전주점,CLICK,기타 요식업,전북 전주시 완산구,2,6000,2026-06-15 11:21:00,2026-06-15 11:21:00
29,29,GP_SAMPLE_JP_005,소바정 춘천점,CLICK,일식,강원 춘천시,1,8000,2026-06-15 11:24:00,2026-06-15 11:24:00
30,30,GP_SAMPLE_CN_006,탕수육집 창원점,CLICK,중식,경남 창원시 성산구,1,9000,2026-06-15 11:27:00,2026-06-15 11:27:00
